id,gender,birthday,Age,abonoment_type,visit_per_week,days_per_week,attend_group_lesson,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,drink_abo,fav_drink,personal_training,name_personal_trainer,uses_sauna,check_in_hour,visit_time,age_group,visit_category,total_activities
30,Female,2002-11-04,21,Premium,3,"Fri, Mon, Thu",True,"Spinning, BodyPump, Zumba",20:15:00,21:36:00,81,True,"orange, coconut_pineapple",False,No Trainer,True,20,Evening,Young Adult,Frequent,2
31,Male,1988-03-04,36,Premium,3,"Sun, Thu, Wed",False,None,10:01:00,12:11:00,130,False,No Drink,True,Jeffrey,True,10,Morning,Middle Age,Frequent,1
32,Male,2000-03-02,24,Standard,5,"Fri, Mon, Sat, Sun, Wed",False,None,20:53:00,23:33:00,160,True,"black_currant, lemon",False,No Trainer,False,20,Evening,Young Adult,Very Frequent,1
33,Female,1982-02-26,42,Premium,3,"Sat, Sun, Tue",True,"LesMiles, HIT",10:23:00,12:01:00,98,False,No Drink,True,Chantal,True,10,Morning,Middle Age,Frequent,2
34,Female,1976-12-07,47,Premium,2,"Mon, Sat",True,"XCore, Running, BodyBalance",14:42:00,16:08:00,86,False,No Drink,True,Hanna,True,14,Afternoon,Senior,Regular,2
35,Male,2004-03-06,20,Premium,5,"Mon, Sun, Thu, Tue, Wed",False,None,18:15:00,20:54:00,159,False,No Drink,True,Mike,True,18,Evening,Young Adult,Very Frequent,1
36,Male,1990-03-09,34,Standard,3,"Sat, Sun, Tue",True,XCore,13:39:00,16:20:00,161,True,orange,False,No Trainer,True,13,Afternoon,Adult,Frequent,2
37,Female,1981-03-18,43,Standard,5,"Fri, Sat, Sun, Tue, Wed",False,None,09:02:00,10:21:00,79,False,No Drink,False,No Trainer,False,9,Morning,Middle Age,Very Frequent,0
38,Female,1983-11-01,40,Premium,2,"Sat, Thu",False,None,08:39:00,10:37:00,118,False,No Drink,False,No Trainer,False,8,Morning,Middle Age,Regular,0
39,Male,1980-07-05,44,Premium,1,Wed,False,None,20:43:00,22:58:00,135,True,"coconut_pineapple, berry_boost",False,No Trainer,False,20,Evening,Middle Age,Light,1
40,Female,2006-01-19,18,Premium,2,"Mon, Tue",True,LesMiles,10:26:00,12:13:00,107,True,"passion_fruit, black_currant",False,No Trainer,True,10,Morning,Teen,Regular,2
41,Female,2008-06-11,16,Premium,3,"Mon, Sun, Tue",False,None,16:04:00,17:51:00,107,True,coconut_pineapple,True,Hanna,True,16,Afternoon,Teen,Frequent,2
42,Female,1989-07-08,35,Standard,1,Sun,False,None,09:38:00,10:36:00,58,False,No Drink,False,No Trainer,False,9,Morning,Adult,Light,0
43,Female,1995-06-26,29,Premium,1,Thu,True,BodyBalance,10:25:00,12:04:00,99,True,"black_currant, lemon",True,Chantal,False,10,Morning,Adult,Light,3
44,Female,1996-04-05,28,Standard,1,Sun,False,None,11:49:00,14:11:00,142,True,"coconut_pineapple, passion_fruit",True,Hanna,True,11,Morning,Adult,Light,2
45,Male,1976-01-19,48,Premium,2,"Tue, Wed",False,None,09:57:00,12:35:00,158,False,No Drink,True,Hanna,True,9,Morning,Senior,Regular,1
46,Female,1981-05-22,43,Standard,4,"Fri, Mon, Sat, Tue",True,Spinning,18:41:00,21:36:00,175,False,No Drink,True,Hanna,False,18,Evening,Middle Age,Very Frequent,2
47,Male,1989-03-04,35,Standard,3,"Sun, Tue, Wed",False,None,15:02:00,16:29:00,87,False,No Drink,False,No Trainer,False,15,Afternoon,Adult,Frequent,0
48,Male,1997-11-15,26,Premium,5,"Fri, Mon, Sun, Thu, Tue",True,Yoga,16:29:00,18:45:00,136,False,No Drink,True,Jeffrey,True,16,Afternoon,Adult,Very Frequent,2
49,Female,1975-10-23,48,Premium,3,"Fri, Thu, Tue",True,"Yoga, BodyBalance",11:56:00,14:13:00,137,False,No Drink,True,Chantal,True,11,Morning,Senior,Frequent,2
50,Female,1979-12-29,44,Premium,2,"Sat, Tue",True,"BodyPump, Zumba",08:54:00,11:35:00,161,True,"black_currant, passion_fruit",False,No Trainer,True,8,Morning,Middle Age,Regular,2
51,Male,1979-07-17,45,Standard,3,"Mon, Sun, Thu",False,None,09:43:00,11:16:00,93,True,"coconut_pineapple, passion_fruit",False,No Trainer,True,9,Morning,Middle Age,Frequent,1
52,Male,1996-04-21,28,Premium,2,"Sat, Wed",True,"BodyPump, Yoga",20:58:00,22:20:00,82,False,No Drink,False,No Trainer,True,20,Evening,Adult,Regular,1
53,Female,2004-07-17,20,Premium,2,"Sun, Thu",True,"BodyBalance, Running",09:26:00,10:35:00,69,False,No Drink,False,No Trainer,False,9,Morning,Young Adult,Regular,1
54,Female,1980-11-27,43,Standard,4,"Fri, Mon, Sat, Thu",True,Pilates,20:36:00,23:17:00,161,True,"orange, berry_boost",True,Mike,False,20,Evening,Middle Age,Very Frequent,3
55,Male,2000-01-04,24,Standard,2,"Sun, Thu",True,"Spinning, Kickboxen, LesMiles",15:49:00,18:31:00,162,True,black_currant,True,Chantal,True,15,Afternoon,Young Adult,Regular,3
56,Male,2002-07-26,22,Standard,3,"Fri, Sun, Tue",False,None,17:13:00,18:24:00,71,False,No Drink,False,No Trainer,True,17,Evening,Young Adult,Frequent,0
57,Female,2001-06-12,23,Standard,3,"Sat, Thu, Wed",False,None,08:36:00,11:18:00,162,False,No Drink,False,No Trainer,False,8,Morning,Young Adult,Frequent,0
58,Male,1977-12-30,46,Premium,5,"Fri, Mon, Sat, Thu, Tue",True,"BodyBalance, BodyPump",12:19:00,12:49:00,30,False,No Drink,True,Chantal,True,12,Afternoon,Senior,Very Frequent,2
59,Male,2007-07-11,17,Premium,2,"Fri, Tue",True,Kickboxen,10:40:00,12:06:00,86,False,No Drink,False,No Trainer,True,10,Morning,Teen,Regular,1
60,Female,1988-08-20,36,Standard,2,"Sat, Thu",True,"XCore, Zumba",19:38:00,21:40:00,122,True,orange,True,Chantal,True,19,Evening,Middle Age,Regular,3
61,Female,1977-05-08,47,Premium,3,"Mon, Sun, Wed",False,None,18:30:00,20:17:00,107,False,No Drink,True,Chantal,False,18,Evening,Senior,Frequent,1
62,Female,1995-05-13,29,Standard,3,"Sat, Tue, Wed",False,None,10:28:00,11:36:00,68,False,No Drink,True,Chantal,True,10,Morning,Adult,Frequent,1
63,Male,1994-03-10,30,Standard,3,"Fri, Sun, Thu",False,None,17:22:00,17:57:00,35,True,"passion_fruit, coconut_pineapple",False,No Trainer,True,17,Evening,Adult,Frequent,1
64,Female,2002-05-16,22,Premium,3,"Fri, Sat, Sun",False,None,10:41:00,11:38:00,57,True,"lemon, berry_boost",True,Hanna,True,10,Morning,Young Adult,Frequent,2
65,Female,1982-11-21,41,Standard,2,"Sun, Tue",False,None,13:55:00,16:22:00,147,False,No Drink,False,No Trainer,True,13,Afternoon,Middle Age,Regular,0
66,Female,1979-03-27,45,Premium,4,"Fri, Thu, Tue, Wed",False,None,13:06:00,13:54:00,48,False,No Drink,False,No Trainer,True,13,Afternoon,Middle Age,Very Frequent,0
67,Female,2002-04-26,22,Premium,1,Sun,True,Running,08:18:00,11:08:00,170,False,No Drink,False,No Trainer,False,8,Morning,Young Adult,Light,1
68,Male,2004-07-16,20,Standard,5,"Mon, Sat, Sun, Thu, Wed",True,Spinning,13:04:00,13:37:00,33,True,"berry_boost, coconut_pineapple",True,Mike,True,13,Afternoon,Young Adult,Very Frequent,3
69,Male,1990-12-12,33,Premium,1,Wed,True,Zumba,09:04:00,09:47:00,43,True,passion_fruit,False,No Trainer,False,9,Morning,Adult,Light,2
70,Female,1988-08-01,36,Premium,3,"Fri, Sun, Tue",False,None,11:11:00,13:56:00,165,False,No Drink,False,No Trainer,True,11,Morning,Middle Age,Frequent,0
71,Male,1994-09-21,30,Premium,5,"Fri, Mon, Sat, Sun, Tue",True,BodyPump,13:04:00,13:58:00,54,False,No Drink,True,Hanna,True,13,Afternoon,Adult,Very Frequent,2
72,Male,2007-03-13,17,Premium,1,Wed,False,None,10:30:00,13:27:00,177,True,black_currant,True,Mike,True,10,Morning,Teen,Light,2
73,Male,1988-12-31,35,Premium,2,"Mon, Tue",False,None,17:06:00,18:39:00,93,True,berry_boost,True,Chantal,False,17,Evening,Adult,Regular,2
74,Male,1995-12-16,28,Standard,2,"Fri, Sun",False,None,20:17:00,23:03:00,166,True,passion_fruit,False,No Trainer,True,20,Evening,Adult,Regular,1
75,Female,1996-11-30,27,Standard,5,"Fri, Mon, Sat, Thu, Tue",False,None,09:57:00,12:22:00,145,False,No Drink,False,No Trainer,False,9,Morning,Adult,Very Frequent,0
76,Male,2004-06-09,20,Premium,1,Sun,False,None,15:33:00,17:01:00,88,False,No Drink,True,Mike,True,15,Afternoon,Young Adult,Light,1
77,Female,2007-04-19,17,Premium,2,"Mon, Tue",False,None,15:54:00,16:46:00,52,False,No Drink,True,Hanna,False,15,Afternoon,Teen,Regular,1
78,Male,1990-10-24,33,Premium,2,"Mon, Sun",True,"Zumba, Spinning, BodyBalance",16:16:00,18:03:00,107,True,berry_boost,True,Mike,False,16,Afternoon,Adult,Regular,3
79,Female,1981-04-24,43,Standard,5,"Fri, Sat, Thu, Tue, Wed",True,XCore,12:44:00,15:44:00,180,False,No Drink,False,No Trainer,False,12,Afternoon,Middle Age,Very Frequent,1
80,Female,1988-09-23,36,Standard,2,"Fri, Tue",True,"Yoga, LesMiles, Spinning",18:19:00,20:02:00,103,False,No Drink,True,Jeffrey,True,18,Evening,Middle Age,Regular,2
81,Male,1978-10-15,45,Standard,2,"Mon, Sat",False,None,12:35:00,15:18:00,163,True,berry_boost,True,Mike,True,12,Afternoon,Middle Age,Regular,2
82,Male,1981-11-06,42,Standard,3,"Sun, Thu, Wed",True,"Running, Kickboxen",18:55:00,21:00:00,125,False,No Drink,False,No Trainer,False,18,Evening,Middle Age,Frequent,1
83,Male,1995-04-02,29,Premium,1,Mon,False,None,08:33:00,09:57:00,84,True,coconut_pineapple,False,No Trainer,False,8,Morning,Adult,Light,1
84,Male,2006-07-30,18,Standard,3,"Sun, Thu, Tue",True,"Yoga, HIT",09:15:00,10:04:00,49,True,"black_currant, lemon",False,No Trainer,False,9,Morning,Teen,Frequent,2
85,Female,1992-04-27,32,Premium,2,"Sat, Sun",True,HIT,19:07:00,22:00:00,173,False,No Drink,False,No Trainer,False,19,Evening,Adult,Regular,1
86,Female,1997-02-09,27,Standard,3,"Mon, Sun, Tue",True,"BodyPump, BodyBalance, XCore",20:29:00,21:35:00,66,False,No Drink,True,Chantal,False,20,Evening,Adult,Frequent,2
87,Male,1977-06-27,47,Premium,3,"Fri, Sat, Tue",True,"Kickboxen, HIT, BodyPump",12:51:00,14:37:00,106,False,No Drink,True,Chantal,True,12,Afternoon,Senior,Frequent,2
88,Female,2008-10-05,16,Premium,2,"Sat, Sun",False,None,11:29:00,13:03:00,94,True,"passion_fruit, black_currant",False,No Trainer,True,11,Morning,Teen,Regular,1
89,Female,1984-12-21,39,Standard,4,"Fri, Mon, Sat, Wed",True,Yoga,10:34:00,11:27:00,53,False,No Drink,False,No Trainer,True,10,Morning,Middle Age,Very Frequent,1
90,Female,1978-08-24,46,Standard,1,Sat,False,None,11:13:00,13:19:00,126,True,"lemon, berry_boost",False,No Trainer,True,11,Morning,Senior,Light,1
91,Female,2003-03-08,21,Premium,3,"Mon, Sat, Sun",False,None,13:04:00,14:21:00,77,True,berry_boost,False,No Trainer,False,13,Afternoon,Young Adult,Frequent,1
92,Male,1993-08-17,31,Standard,1,Sun,True,Running,14:37:00,15:25:00,48,False,No Drink,True,Chantal,False,14,Afternoon,Adult,Light,2
93,Female,1984-06-06,40,Standard,4,"Mon, Sat, Sun, Wed",True,"BodyPump, Spinning, Pilates",09:55:00,10:43:00,48,False,No Drink,False,No Trainer,True,9,Morning,Middle Age,Very Frequent,1
94,Female,1983-06-03,41,Standard,2,"Tue, Wed",True,"BodyPump, Spinning, HIT",16:43:00,18:46:00,123,True,coconut_pineapple,True,Chantal,True,16,Afternoon,Middle Age,Regular,3
95,Female,2012-05-10,12,Standard,3,"Fri, Thu, Wed",True,BodyBalance,10:10:00,12:50:00,160,True,berry_boost,False,No Trainer,True,10,Morning,Teen,Frequent,2
96,Male,1984-04-10,40,Standard,1,Sat,False,None,10:28:00,13:25:00,177,False,No Drink,False,No Trainer,True,10,Morning,Middle Age,Light,0
97,Male,1995-03-24,29,Premium,3,"Fri, Sun, Wed",False,None,14:16:00,17:08:00,172,False,No Drink,False,No Trainer,False,14,Afternoon,Adult,Frequent,0
98,Male,2005-09-18,19,Premium,2,"Sat, Tue",False,None,16:57:00,18:54:00,117,True,coconut_pineapple,True,Jeffrey,False,16,Afternoon,Young Adult,Regular,2
99,Female,1990-03-23,34,Premium,2,"Fri, Mon",False,None,09:35:00,12:00:00,145,False,No Drink,True,Hanna,True,9,Morning,Adult,Regular,1
100,Female,2003-02-08,21,Premium,3,"Mon, Sat, Wed",False,None,08:34:00,10:00:00,86,False,No Drink,False,No Trainer,True,8,Morning,Young Adult,Frequent,0
101,Male,1980-05-18,44,Standard,3,"Sat, Sun, Wed",True,HIT,10:11:00,11:30:00,79,True,black_currant,True,Jeffrey,True,10,Morning,Middle Age,Frequent,3
102,Female,2000-02-15,24,Standard,3,"Fri, Mon, Sun",True,BodyPump,17:42:00,20:02:00,140,False,No Drink,True,Mike,False,17,Evening,Young Adult,Frequent,2
103,Male,1990-11-06,33,Standard,5,"Fri, Sat, Sun, Thu, Wed",True,"Pilates, BodyBalance",10:29:00,11:18:00,49,True,lemon,True,Chantal,False,10,Morning,Adult,Very Frequent,3
104,Female,1976-12-20,47,Premium,2,"Sat, Tue",False,None,13:19:00,14:50:00,91,True,coconut_pineapple,True,Mike,True,13,Afternoon,Senior,Regular,2
105,Female,1986-03-15,38,Premium,1,Mon,True,"BodyPump, Zumba",09:51:00,10:33:00,42,True,"passion_fruit, berry_boost",True,Mike,True,9,Morning,Middle Age,Light,3
106,Male,2012-08-28,12,Premium,3,"Fri, Sun, Thu",True,"Pilates, LesMiles",19:57:00,21:28:00,91,True,"orange, black_currant",False,No Trainer,False,19,Evening,Teen,Frequent,2
107,Female,2003-07-22,21,Standard,2,"Fri, Mon",False,None,20:13:00,21:48:00,95,True,coconut_pineapple,False,No Trainer,False,20,Evening,Young Adult,Regular,1
108,Female,2002-03-05,22,Standard,3,"Sat, Sun, Thu",True,"Running, Kickboxen, BodyBalance",19:52:00,20:46:00,54,False,No Drink,True,Chantal,False,19,Evening,Young Adult,Frequent,2
109,Female,1991-03-27,33,Premium,1,Thu,False,None,14:02:00,15:29:00,87,False,No Drink,False,No Trainer,False,14,Afternoon,Adult,Light,0
110,Female,2004-03-01,20,Premium,2,"Fri, Wed",True,Pilates,17:52:00,20:41:00,169,False,No Drink,False,No Trainer,True,17,Evening,Young Adult,Regular,1
111,Female,1994-02-01,30,Standard,3,"Sat, Sun, Wed",True,"HIT, LesMiles",17:43:00,18:23:00,40,False,No Drink,False,No Trainer,False,17,Evening,Adult,Frequent,1
112,Male,2009-03-06,15,Standard,3,"Fri, Sun, Wed",True,"Pilates, BodyBalance, HIT",16:33:00,19:09:00,156,False,No Drink,False,No Trainer,False,16,Afternoon,Teen,Frequent,1
113,Female,1977-07-31,47,Premium,1,Sun,False,None,16:23:00,18:07:00,104,False,No Drink,True,Chantal,False,16,Afternoon,Senior,Light,1
114,Female,1994-06-18,30,Premium,3,"Sun, Thu, Tue",False,None,13:51:00,16:13:00,142,False,No Drink,True,Jeffrey,True,13,Afternoon,Adult,Frequent,1
115,Female,2010-09-16,14,Premium,3,"Sat, Sun, Tue",False,None,14:36:00,15:11:00,35,False,No Drink,True,Jeffrey,False,14,Afternoon,Teen,Frequent,1
116,Male,1991-03-17,33,Premium,4,"Fri, Thu, Tue, Wed",False,None,19:08:00,22:06:00,178,True,orange,False,No Trainer,True,19,Evening,Adult,Very Frequent,1
117,Male,1975-04-04,49,Standard,1,Tue,True,Pilates,18:02:00,18:44:00,42,True,"berry_boost, lemon",False,No Trainer,False,18,Evening,Senior,Light,2
118,Male,1983-12-28,40,Standard,5,"Sat, Sun, Thu, Tue, Wed",False,None,08:23:00,09:19:00,56,False,No Drink,False,No Trainer,False,8,Morning,Middle Age,Very Frequent,0
119,Male,1978-07-07,46,Premium,3,"Mon, Sun, Wed",True,"HIT, BodyPump",13:30:00,14:37:00,67,False,No Drink,True,Jeffrey,False,13,Afternoon,Senior,Frequent,2
120,Female,1984-05-06,40,Standard,3,"Fri, Tue, Wed",False,None,14:55:00,17:18:00,143,True,passion_fruit,True,Chantal,True,14,Afternoon,Middle Age,Frequent,2
121,Female,2002-03-30,22,Premium,2,"Sun, Thu",True,"BodyPump, Yoga, Pilates",19:19:00,20:52:00,93,True,"lemon, black_currant",False,No Trainer,False,19,Evening,Young Adult,Regular,2
122,Female,1981-07-02,43,Premium,1,Fri,True,Kickboxen,20:09:00,21:57:00,108,False,No Drink,False,No Trainer,True,20,Evening,Middle Age,Light,1
123,Female,1990-10-28,33,Standard,3,"Mon, Sat, Thu",False,None,09:46:00,12:17:00,151,False,No Drink,False,No Trainer,False,9,Morning,Adult,Frequent,0
124,Female,2010-07-29,14,Premium,3,"Fri, Sat, Wed",False,None,14:40:00,15:53:00,73,False,No Drink,True,Hanna,False,14,Afternoon,Teen,Frequent,1
125,Male,2010-04-20,14,Standard,3,"Sat, Sun, Tue",False,None,14:09:00,16:34:00,145,False,No Drink,True,Jeffrey,False,14,Afternoon,Teen,Frequent,1
126,Male,2009-10-16,14,Standard,3,"Mon, Sat, Thu",False,None,08:40:00,10:15:00,95,False,No Drink,True,Chantal,True,8,Morning,Teen,Frequent,1
127,Female,2004-12-16,19,Standard,3,"Fri, Thu, Tue",False,None,10:58:00,12:22:00,84,False,No Drink,True,Hanna,True,10,Morning,Young Adult,Frequent,1
128,Female,1992-02-27,32,Premium,3,"Fri, Sun, Thu",False,None,14:23:00,15:48:00,85,True,"passion_fruit, orange",False,No Trainer,False,14,Afternoon,Adult,Frequent,1
129,Male,1977-03-30,47,Premium,1,Sun,True,"Running, BodyBalance",12:24:00,13:14:00,50,False,No Drink,True,Hanna,True,12,Afternoon,Senior,Light,2
130,Male,1981-05-27,43,Premium,2,"Sat, Tue",False,None,19:40:00,22:32:00,172,False,No Drink,True,Chantal,False,19,Evening,Middle Age,Regular,1
131,Male,1989-11-17,34,Standard,3,"Fri, Thu, Tue",False,None,15:41:00,17:04:00,83,True,"lemon, passion_fruit",True,Hanna,False,15,Afternoon,Adult,Frequent,2
132,Male,2003-03-19,21,Premium,1,Wed,False,None,18:11:00,20:51:00,160,True,orange,True,Hanna,True,18,Evening,Young Adult,Light,2
133,Male,1997-04-26,27,Premium,2,"Fri, Tue",True,Zumba,11:35:00,13:34:00,119,True,orange,False,No Trainer,True,11,Morning,Adult,Regular,2
134,Female,1993-08-20,31,Premium,5,"Fri, Mon, Sat, Thu, Wed",True,"Spinning, BodyPump",09:31:00,11:06:00,95,False,No Drink,True,Mike,True,9,Morning,Adult,Very Frequent,2
135,Female,2003-05-19,21,Standard,2,"Sun, Thu",False,None,13:05:00,14:45:00,100,True,passion_fruit,True,Mike,False,13,Afternoon,Young Adult,Regular,2
136,Female,2009-06-30,15,Standard,2,"Mon, Tue",False,None,16:51:00,19:45:00,174,True,coconut_pineapple,False,No Trainer,False,16,Afternoon,Teen,Regular,1
137,Female,2004-09-18,20,Premium,3,"Sat, Sun, Thu",False,None,10:32:00,11:09:00,37,False,No Drink,False,No Trainer,True,10,Morning,Young Adult,Frequent,0
138,Male,1988-04-10,36,Standard,1,Tue,False,None,20:55:00,22:44:00,109,True,lemon,False,No Trainer,True,20,Evening,Middle Age,Light,1
139,Female,1993-04-07,31,Standard,5,"Fri, Sun, Thu, Tue, Wed",False,None,19:28:00,20:10:00,42,False,No Drink,False,No Trainer,False,19,Evening,Adult,Very Frequent,0
140,Female,2010-02-25,14,Standard,2,"Mon, Wed",True,"Spinning, Kickboxen, Zumba",10:33:00,12:57:00,144,True,"lemon, orange",False,No Trainer,True,10,Morning,Teen,Regular,2
141,Male,1984-05-28,40,Premium,3,"Mon, Thu, Tue",True,"LesMiles, HIT",19:59:00,21:04:00,65,False,No Drink,True,Mike,False,19,Evening,Middle Age,Frequent,2
142,Female,2002-03-07,22,Standard,5,"Fri, Sat, Sun, Tue, Wed",True,"Running, BodyPump, XCore",08:13:00,09:46:00,93,False,No Drink,False,No Trainer,True,8,Morning,Young Adult,Very Frequent,1
143,Female,2008-03-19,16,Premium,3,"Fri, Sun, Wed",False,None,17:21:00,18:46:00,85,False,No Drink,True,Chantal,False,17,Evening,Teen,Frequent,1
144,Male,1975-03-11,49,Premium,3,"Fri, Thu, Wed",True,"XCore, Zumba, LesMiles",20:30:00,21:24:00,54,True,passion_fruit,True,Jeffrey,True,20,Evening,Senior,Frequent,3
145,Female,2010-06-21,14,Premium,3,"Sat, Sun, Wed",False,None,10:11:00,11:56:00,105,True,"lemon, passion_fruit",False,No Trainer,True,10,Morning,Teen,Frequent,1
146,Female,2010-08-20,14,Standard,5,"Fri, Sat, Sun, Thu, Tue",True,"XCore, Yoga, LesMiles",20:23:00,21:30:00,67,True,"black_currant, passion_fruit",True,Mike,True,20,Evening,Teen,Very Frequent,3
147,Male,1988-03-17,36,Standard,3,"Fri, Sat, Tue",True,"Running, Yoga, Pilates",18:19:00,19:47:00,88,False,No Drink,False,No Trainer,False,18,Evening,Middle Age,Frequent,1
148,Male,1988-03-22,36,Premium,2,"Mon, Sat",True,"BodyPump, Kickboxen, Zumba",09:08:00,11:19:00,131,True,"orange, berry_boost",True,Mike,False,9,Morning,Middle Age,Regular,3
149,Male,1998-06-29,26,Standard,2,"Sat, Thu",False,None,17:57:00,20:08:00,131,False,No Drink,False,No Trainer,False,17,Evening,Adult,Regular,0
150,Male,2005-06-27,19,Premium,1,Sat,False,None,16:10:00,17:20:00,70,False,No Drink,True,Mike,True,16,Afternoon,Young Adult,Light,1
151,Male,1995-02-02,29,Premium,2,"Fri, Mon",True,"Pilates, HIT",20:15:00,22:05:00,110,False,No Drink,False,No Trainer,True,20,Evening,Adult,Regular,1
152,Male,1997-09-25,27,Premium,2,"Thu, Wed",False,None,20:44:00,21:57:00,73,False,No Drink,True,Hanna,True,20,Evening,Adult,Regular,1
